Timestamp,Q1. What is your gender?,Q2. What is your current year of study?,Q3. What is your department / faculty?,Q4. Where do you currently live during the academic term?,Q5. Do you work part-time while studying?,"Q6. On average, how many hours do you sleep per night on weekdays?",Q7. What time do you usually go to bed on weekdays?,Q8. How often do you feel sleepy or tired during classes or study sessions?,Q9. How would you rate the overall quality of your sleep?,Q10. What is the main reason you stay up late at night? (If applicable),Q11. How many days per week do you engage in deliberate physical exercise?,"Q12. On days you exercise, how long is your typical session?",Q13. How much do you walk or move around on a typical day (excluding deliberate exercise)?,Q14. Do you believe regular physical activity positively affects your academic productivity?,Q15. How many meals do you typically eat per day?,Q16. Do you regularly skip breakfast?,Q17. How often do you consume fast food or processed junk food?,Q18. How much water do you drink on a typical day?,"Q19. How often do you consume caffeinated drinks (tea, coffee, energy drinks) to stay alert while studying?",Q20. How many hours per day do you spend on social media for non-academic purposes?,Q21. Do you use your phone or browse social media while studying?,Q22. To what extent do you feel social media distracts you from your academic responsibilities?,Q23. Do you use your phone for 30+ minutes immediately before going to sleep?,Q24. How often do you feel stressed or overwhelmed due to academic pressure?,Q25. What are your main sources of stress? (Select all that apply),Q26. How do you usually manage stress? (Select all that apply),Q27. How often do you feel anxious or low in mood in a typical week?,Q28. Does stress or poor mental health affect your ability to concentrate and study?,Q29. How many hours per week do you spend on leisure or hobbies (excluding screen time)?,Q30. How many hours per day do you dedicate to self-study outside class on a typical weekday?,Q31. How would you rate your overall academic productivity on a typical day?,Q32. Do you often procrastinate or delay starting academic tasks?,Q33. Rate how much each lifestyle factor affects your academic productivity: [Sleep quality & duration],Q33. Rate how much each lifestyle factor affects your academic productivity: [Physical exercise habits],Q33. Rate how much each lifestyle factor affects your academic productivity: [Diet & eating habits],Q33. Rate how much each lifestyle factor affects your academic productivity: [Social media & screen time],Q33. Rate how much each lifestyle factor affects your academic productivity: [Stress & mental health],Q34. Which single lifestyle factor do you think most negatively impacts your productivity?,Q35. Is there anything else you would like to share about how your lifestyle affects your productivity at NSTU? (Optional),Name,Score
03/07/2026 21:32:40,Female,4th Year,Life science ,University hall / dormitory,No,5–6 hours,10:00 PM – 12:00 AM,Sometimes (3–4 times/week),3,Using social media / watching content,Never / 0 days,I don't exercise,Light walking around campus,Strongly agree,More than 3 / multiple small meals,Sometimes,1–2 times per week,1–2 litres,Daily (1 cup),More than 4 hours,Often,5,"Yes, always",Often,Exam pressure and assignment deadlines,Talking to friends or family,Almost every day,Strongly agree,Less than 2 hours,Less than 1 hour,3,Sometimes,5,5,5,5,5,Excessive social media / screen time,Not sure about it,Sadia Islam Mim,
03/07/2026 21:33:51,Female,2nd Year,Biochemistry and Molecular Biology,University hall / dormitory,No,5–6 hours,12:00 AM – 2:00 AM,Sometimes (3–4 times/week),3,Studying or completing assignments,Never / 0 days,I don't exercise,Light walking around campus,Neutral,More than 3 / multiple small meals,Never,Almost daily,1–2 litres,Daily (1 cup),More than 4 hours,Sometimes,4,"Yes, but briefly (under 15 min)",Almost always,"Exam pressure and assignment deadlines, Future career uncertainty","Listening to music, Sleeping or resting, Prayer / religious practice",1–2 days,Agree,Less than 2 hours,More than 4 hours,3,Never,5,3,5,5,5,Poor sleep,,Shahariya Sultana,
03/07/2026 21:33:53,Male,4th Year,Statistics,University hall / dormitory,No,More than 8 hours,12:00 AM – 2:00 AM,Sometimes (3–4 times/week),2,Using social media / watching content,Never / 0 days,I don't exercise,Light walking around campus,Strongly agree,2 meals,Usually,3–4 times per week,1–2 litres,Multiple times per day,More than 4 hours,Almost always,4,"Yes, always",Rarely,"Exam pressure and assignment deadlines, Future career uncertainty","Talking to friends or family, Scrolling social media",3–4 days,Strongly agree,Less than 2 hours,1–2 hours,2,Rarely,4,3,3,4,4,Poor sleep,,Mahruf,
03/07/2026 21:35:37,Female,3rd Year,Zoology ,University hall / dormitory,"Yes, regularly (tutoring, freelancing etc.)",5–6 hours,10:00 PM – 12:00 AM,Rarely (1–2 times/week),4,I don't usually stay up late,5 or more days,20–45 minutes,Moderate — walk or commute regularly,Agree,More than 3 / multiple small meals,Never,1–2 times per week,1–2 litres,Multiple times per day,More than 4 hours,Almost always,4,"Yes, but briefly (under 15 min)",Almost always,"Financial problems, Family expectations, Relationship or social issues","Talking to friends or family, Prayer / religious practice",3–4 days,Neutral,Less than 2 hours,Less than 1 hour,2,Rarely,4,3,4,5,4,Stress and anxiety,,Jubaiya hossen Oishy ,
03/07/2026 21:36:07,Male,4th Year,Food technology and nutrition science ,Rented mess / house near campus,"Yes, regularly (tutoring, freelancing etc.)",7–8 hours,12:00 AM – 2:00 AM,Rarely (1–2 times/week),4,Using social media / watching content,Never / 0 days,I don't exercise,Light walking around campus,Strongly agree,2 meals,Sometimes,1–2 times per week,1–2 litres,Daily (1 cup),More than 4 hours,Almost always,5,"Yes, always",Sometimes,"Financial problems, Family expectations, Relationship or social issues","Scrolling social media, Sleeping or resting",1–2 days,Strongly agree,Less than 2 hours,Less than 1 hour,3,Often,2,3,3,5,5,Excessive social media / screen time,the environment of residential mess also affect our productivity. ,Md.Tofayel islam,
03/07/2026 21:37:03,Female,3rd Year,Law,University hall / dormitory,"Yes, regularly (tutoring, freelancing etc.)",5–6 hours,10:00 PM – 12:00 AM,Sometimes (3–4 times/week),3,I don't usually stay up late,Never / 0 days,I don't exercise,Very little — mostly sitting,Strongly agree,More than 3 / multiple small meals,Never,1–2 times per week,1–2 litres,Multiple times per day,1–2 hours,Sometimes,3,"Yes, always",Sometimes,Exam pressure and assignment deadlines,"Talking to friends or family, Listening to music, Scrolling social media, Sleeping or resting, Prayer / religious practice",1–2 days,Neutral,2–5 hours,1–2 hours,3,Sometimes,1,5,3,3,3,Lack of exercise,,Jannatul Mawa ,
03/07/2026 21:37:55,Female,2nd Year,Statistics ,Rented mess / house near campus,"Yes, regularly (tutoring, freelancing etc.)",7–8 hours,12:00 AM – 2:00 AM,Sometimes (3–4 times/week),3,Studying or completing assignments,Never / 0 days,I don't exercise,Moderate — walk or commute regularly,Agree,2 meals,Sometimes,1–2 times per week,1–2 litres,Never,Less than 1 hour,Rarely,4,"Yes, but briefly (under 15 min)",Sometimes,Future career uncertainty,Prayer / religious practice,Almost every day,Agree,Less than 2 hours,2–4 hours,3,Sometimes,3,1,1,2,3,Stress and anxiety,,Sadia Akther Ananya ,
03/07/2026 21:38:32,Male,1st Year,Microbiology ,University hall / dormitory,"Yes, regularly (tutoring, freelancing etc.)",5–6 hours,10:00 PM – 12:00 AM,Rarely (1–2 times/week),2,Using social media / watching content,1–2 days,Less than 20 minutes,Light walking around campus,Strongly agree,3 meals,Rarely,1–2 times per week,2–3 litres,Occasionally,3–4 hours,Sometimes,1,"Yes, always",Rarely,I don't feel significantly stressed,Prayer / religious practice,Never,Disagree,More than 10 hours,1–2 hours,2,Rarely,5,3,4,1,2,Poor sleep,,Wazed Ali,
03/07/2026 21:39:49,Female,3rd Year,Department of Business Administration ,University hall / dormitory,No,6–7 hours,12:00 AM – 2:00 AM,Sometimes (3–4 times/week),2,Using social media / watching content,1–2 days,20–45 minutes,Moderate — walk or commute regularly,Agree,2 meals,Usually,1–2 times per week,1–2 litres,Daily (1 cup),More than 4 hours,Almost always,5,"Yes, always",Almost always,"Exam pressure and assignment deadlines, Financial problems, Family expectations, Future career uncertainty","Exercise or physical activity, Talking to friends or family, Listening to music, Scrolling social media, Sleeping or resting, Prayer / religious practice",1–2 days,Strongly agree,2–5 hours,1–2 hours,3,Often,3,3,3,1,1,Excessive social media / screen time,,Mahmuda yesmin Nila ,
03/07/2026 21:40:20,Male,4th Year,Agriculture ,Rented mess / house near campus,No,5–6 hours,10:00 PM – 12:00 AM,Rarely (1–2 times/week),3,Using social media / watching content,1–2 days,Less than 20 minutes,Moderate — walk or commute regularly,Strongly agree,2 meals,Sometimes,1–2 times per week,1–2 litres,Daily (1 cup),3–4 hours,Often,4,"Yes, always",Often,"Financial problems, Family expectations, Future career uncertainty","Scrolling social media, Sleeping or resting, Prayer / religious practice",1–2 days,Strongly agree,Less than 2 hours,Less than 1 hour,2,Sometimes,4,4,5,5,5,Stress and anxiety,,Lokman,
